"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
2;"C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
3;"D13,D15,D23,D1,D9,D26,D5,D24,D2,D16,D8,D25,D21,D22,D18,D12,D10,D27,D7,D20,D6,D14,D19,D17,D11,D3,D4";"D_SOD-123";27;"D";;;
4;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
5;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"60@100MHz";;;
6;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
7;"U2";"SOT143B";1;"PRTR5V0U2X";;;
8;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22pF";;;
9;"SW1";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
10;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mA";;;
11;"X1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
12;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
13;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
14;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
15;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-A";;;
16;"K5";"SW_MX_HS_1u";1;"T";;;
17;"K14";"SW_MX_HS_1u";1;"F";;;
18;"K11";"SW_MX_HS_1u";1;"A";;;
19;"K25";"SW_MX_HS_1u";1;"N";;;
20;"K16";"SW_MX_HS_1u";1;"H";;;
21;"K10";"SW_MX_HS_1u";1;"P";;;
22;"K8";"SW_MX_HS_1u";1;"I";;;
23;"K9";"SW_MX_HS_1u";1;"O";;;
24;"J2";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
25;"K13";"SW_MX_HS_1u";1;"D";;;
26;"K24";"SW_MX_HS_1u";1;"B";;;
27;"K7";"SW_MX_HS_1u";1;"U";;;
28;"K27";"SW_MX_HS_1u";1;"SPACE";;;
29;"K19";"SW_MX_HS_1u";1;"L";;;
30;"K22";"SW_MX_HS_1u";1;"C";;;
31;"K23";"SW_MX_HS_1u";1;"V";;;
32;"K21";"SW_MX_HS_1u";1;"X";;;
33;"K4";"SW_MX_HS_1u";1;"R";;;
34;"K18";"SW_MX_HS_1u";1;"K";;;
35;"K3";"SW_MX_HS_1u";1;"E";;;
36;"K15";"SW_MX_HS_1u";1;"G";;;
37;"K2";"SW_MX_HS_1u";1;"W";;;
38;"K20";"SW_MX_HS_1u";1;"Z";;;
39;"K17";"SW_MX_HS_1u";1;"J";;;
40;"K26";"SW_MX_HS_1u";1;"M";;;
41;"K1";"SW_MX_HS_1u";1;"Q";;;
42;"K12";"SW_MX_HS_1u";1;"S";;;
43;"K6";"SW_MX_HS_1u";1;"Y";;;
